Season,Position,Club,games,wins,draws,losses,goals_for,goals_against,goal_diff,points,points_avg,xg_for,xg_against,xg_diff,xg_diff_per90
2018-2019,1,Manchester City,38,32,2,4,95,23,+72,98,2.58,84.6,25.1,+59.5,+1.57
2018-2019,2,Liverpool,38,30,7,1,89,22,+67,97,2.55,75.5,31.0,+44.5,+1.17
2018-2019,3,Chelsea,38,21,9,8,63,39,+24,72,1.89,58.9,35.7,+23.3,+0.61
2018-2019,4,Tottenham,38,23,2,13,67,39,+28,71,1.87,58.5,45.9,+12.7,+0.33
2018-2019,5,Arsenal,38,21,7,10,73,51,+22,70,1.84,59.0,54.1,+4.9,+0.13
2018-2019,6,Manchester Utd,38,19,9,10,65,54,+11,66,1.74,58.8,46.2,+12.6,+0.33
2018-2019,7,Wolves,38,16,9,13,47,46,+1,57,1.50,48.2,38.7,+9.5,+0.25
2018-2019,8,Everton,38,15,9,14,54,46,+8,54,1.42,48.3,47.5,+0.8,+0.02
2018-2019,9,Leicester City,38,15,7,16,51,48,+3,52,1.37,49.6,45.5,+4.0,+0.11
2018-2019,10,West Ham,38,15,7,16,52,55,-3,52,1.37,47.7,60.9,-13.2,-0.35
2018-2019,11,Watford,38,14,8,16,52,59,-7,50,1.32,47.5,54.6,-7.1,-0.19
2018-2019,12,Crystal Palace,38,14,7,17,51,53,-2,49,1.29,50.3,48.7,+1.6,+0.04
2018-2019,13,Newcastle Utd,38,12,9,17,42,48,-6,45,1.18,38.8,52.8,-14.0,-0.37
2018-2019,14,Bournemouth,38,13,6,19,56,70,-14,45,1.18,54.2,55.6,-1.5,-0.04
2018-2019,15,Burnley,38,11,7,20,45,68,-23,40,1.05,40.8,64.2,-23.4,-0.61
2018-2019,16,Southampton,38,9,12,17,45,65,-20,39,1.03,47.5,55.7,-8.2,-0.22
2018-2019,17,Brighton,38,9,9,20,35,60,-25,36,0.95,34.4,56.2,-21.8,-0.57
2018-2019,18,Cardiff City,38,10,4,24,34,69,-35,34,0.89,39.4,62.4,-23.1,-0.61
2018-2019,19,Fulham,38,7,5,26,34,81,-47,26,0.68,38.8,66.5,-27.7,-0.73
2018-2019,20,Huddersfield,38,3,7,28,22,76,-54,16,0.42,29.5,62.9,-33.5,-0.88
2019-2020,1,Liverpool,38,32,3,3,85,33,+52,99,2.61,71.5,40.0,+31.5,+0.83
2019-2020,2,Manchester City,38,26,3,9,102,35,+67,81,2.13,93.1,34.8,+58.3,+1.54
2019-2020,3,Manchester Utd,38,18,12,8,66,36,+30,66,1.74,59.4,37.4,+22.0,+0.58
2019-2020,4,Chelsea,38,20,6,12,69,54,+15,66,1.74,66.6,37.8,+28.7,+0.76
2019-2020,5,Leicester City,38,18,8,12,67,41,+26,62,1.63,61.6,44.5,+17.1,+0.45
2019-2020,6,Tottenham,38,16,11,11,61,47,+14,59,1.55,46.1,52.0,-6.0,-0.16
2019-2020,7,Wolves,38,15,14,9,51,40,+11,59,1.55,47.1,34.8,+12.3,+0.32
2019-2020,8,Arsenal,38,14,14,10,56,48,+8,56,1.47,49.2,56.6,-7.3,-0.19
2019-2020,9,Sheffield Utd,38,14,12,12,39,39,0,54,1.42,41.5,47.9,-6.4,-0.17
2019-2020,10,Burnley,38,15,9,14,43,50,-7,54,1.42,43.9,48.3,-4.4,-0.12
2019-2020,11,Southampton,38,15,7,16,51,60,-9,52,1.37,53.9,53.1,+0.8,+0.02
2019-2020,12,Everton,38,13,10,15,44,56,-12,49,1.29,49.3,48.4,+0.9,+0.02
2019-2020,13,Newcastle Utd,38,11,11,16,38,58,-20,44,1.16,33.1,58.3,-25.2,-0.66
2019-2020,14,Crystal Palace,38,11,10,17,31,50,-19,43,1.13,34.0,51.3,-17.3,-0.45
2019-2020,15,Brighton,38,9,14,15,39,54,-15,41,1.08,41.2,54.5,-13.3,-0.35
2019-2020,16,West Ham,38,10,9,19,49,62,-13,39,1.03,46.1,61.0,-14.8,-0.39
2019-2020,17,Aston Villa,38,9,8,21,41,67,-26,35,0.92,40.1,65.9,-25.8,-0.68
2019-2020,18,Bournemouth,38,9,7,22,40,65,-25,34,0.89,42.7,57.5,-14.9,-0.39
2019-2020,19,Watford,38,8,10,20,36,64,-28,34,0.89,45.1,57.3,-12.2,-0.32
2019-2020,20,Norwich City,38,5,6,27,26,75,-49,21,0.55,38.0,61.9,-23.9,-0.63
2020-2021,1,Manchester City,38,27,5,6,83,32,+51,86,2.26,73.3,31.4,+42.0,+1.10
2020-2021,2,Manchester Utd,38,21,11,6,73,44,+29,74,1.95,60.2,42.2,+18.0,+0.47
2020-2021,3,Liverpool,38,20,9,9,68,42,+26,69,1.82,72.6,45.3,+27.3,+0.72
2020-2021,4,Chelsea,38,19,10,9,58,36,+22,67,1.76,64.0,32.8,+31.2,+0.82
2020-2021,5,Leicester City,38,20,6,12,68,50,+18,66,1.74,56.0,47.7,+8.3,+0.22
2020-2021,6,West Ham,38,19,8,11,62,47,+15,65,1.71,53.9,48.3,+5.6,+0.15
2020-2021,7,Tottenham,38,18,8,12,68,45,+23,62,1.63,54.5,49.5,+5.0,+0.13
2020-2021,8,Arsenal,38,18,7,13,55,39,+16,61,1.61,53.5,44.3,+9.2,+0.24
2020-2021,9,Leeds United,38,18,5,15,62,54,+8,59,1.55,57.5,62.9,-5.4,-0.14
2020-2021,10,Everton,38,17,8,13,47,48,-1,59,1.55,47.1,52.0,-4.9,-0.13
2020-2021,11,Aston Villa,38,16,7,15,55,46,+9,55,1.45,52.9,52.9,+0.1,0.00
2020-2021,12,Newcastle Utd,38,12,9,17,46,62,-16,45,1.18,41.0,54.0,-13.0,-0.34
2020-2021,13,Wolves,38,12,9,17,36,52,-16,45,1.18,39.9,45.8,-6.0,-0.16
2020-2021,14,Crystal Palace,38,12,8,18,41,66,-25,44,1.16,32.4,57.5,-25.0,-0.66
2020-2021,15,Southampton,38,12,7,19,47,68,-21,43,1.13,42.4,54.2,-11.8,-0.31
2020-2021,16,Brighton,38,9,14,15,40,46,-6,41,1.08,51.6,37.7,+13.9,+0.37
2020-2021,17,Burnley,38,10,9,19,33,55,-22,39,1.03,39.9,57.6,-17.7,-0.47
2020-2021,18,Fulham,38,5,13,20,27,53,-26,28,0.74,41.3,52.9,-11.7,-0.31
2020-2021,19,West Brom,38,5,11,22,35,76,-41,26,0.68,33.8,67.7,-34.0,-0.89
2020-2021,20,Sheffield Utd,38,7,2,29,20,63,-43,23,0.61,31.4,62.4,-31.0,-0.82
2021-2022,1,Manchester City,38,29,6,3,99,26,+73,93,2.45,89.0,27.2,+61.9,+1.63
2021-2022,2,Liverpool,38,28,8,2,94,26,+68,92,2.42,89.2,34.3,+55.0,+1.45
2021-2022,3,Chelsea,38,21,11,6,76,33,+43,74,1.95,67.2,36.0,+31.3,+0.82
2021-2022,4,Tottenham,38,22,5,11,69,40,+29,71,1.87,65.1,39.4,+25.8,+0.68
2021-2022,5,Arsenal,38,22,3,13,61,48,+13,69,1.82,59.9,47.1,+12.8,+0.34
2021-2022,6,Manchester Utd,38,16,10,12,57,57,0,58,1.53,54.8,54.5,+0.3,+0.01
2021-2022,7,West Ham,38,16,8,14,60,51,+9,56,1.47,49.9,51.0,-1.1,-0.03
2021-2022,8,Leicester City,38,14,10,14,62,59,+3,52,1.37,50.8,61.0,-10.1,-0.27
2021-2022,9,Brighton,38,12,15,11,42,44,-2,51,1.34,46.0,45.6,+0.4,+0.01
2021-2022,10,Wolves,38,15,6,17,38,43,-5,51,1.34,35.9,60.3,-24.4,-0.64
2021-2022,11,Newcastle Utd,38,13,10,15,44,62,-18,49,1.29,40.3,55.4,-15.2,-0.40
2021-2022,12,Crystal Palace,38,11,15,12,50,46,+4,48,1.26,46.4,41.0,+5.4,+0.14
2021-2022,13,Brentford,38,13,7,18,48,56,-8,46,1.21,47.8,49.1,-1.3,-0.03
2021-2022,14,Aston Villa,38,13,6,19,52,54,-2,45,1.18,44.0,49.1,-5.1,-0.13
2021-2022,15,Southampton,38,9,13,16,43,67,-24,40,1.05,46.8,58.6,-11.9,-0.31
2021-2022,16,Everton,38,11,6,21,43,66,-23,39,1.03,42.8,54.5,-11.7,-0.31
2021-2022,17,Leeds United,38,9,11,18,42,79,-37,38,1.00,47.2,70.1,-23.0,-0.60
2021-2022,18,Burnley,38,7,14,17,34,53,-19,35,0.92,39.0,56.7,-17.7,-0.47
2021-2022,19,Watford,38,6,5,27,34,77,-43,23,0.61,38.8,66.6,-27.8,-0.73
2021-2022,20,Norwich City,38,5,7,26,23,84,-61,22,0.58,33.3,77.0,-43.6,-1.15
